Date,Description,Debit,Credit,Balance,Reference
03/01/2026,SYNERGY BPAY 555123 ELECTRICITY,312.80,,38171.51,
05/01/2026,KAREN WENHAM CLEANING JAN 2026,200.00,,37971.51,
02/01/2026,SQ TRANSFER SAFETY BAY TC,,557.85,38484.36,
06/01/2026,STRIPE PAYOUT SAFETY BAY TC,,576.49,38547.00,
07/01/2026,SQ TRANSFER SAFETY BAY TC,,531.22,39078.22,
08/01/2026,DEPOSIT ROCKINGHAM CITY,,580.00,39658.22,
08/01/2026,PENTANET PTY LTD JAN 2026,89.00,,39569.22,
09/01/2026,BWS ROCKINGHAM 1234,693.95,,38875.27,
10/01/2026,STRIPE PAYOUT SAFETY BAY TC,,576.49,39451.76,
12/01/2026,MEMBERSHIP FEE SARAH HENDERSON,,165.00,39616.76,
13/01/2026,MEMBERSHIP FEE TOM NGUYEN,,165.00,39781.76,
14/01/2026,SQ TRANSFER SAFETY BAY TC,,548.96,40330.72,
14/01/2026,JIMS MOWING 9876 GROUNDS,440.00,,39890.72,
15/01/2026,MEMBERSHIP FEE PRIYA SHARMA,,82.50,39973.22,
15/01/2026,RECKON LTD SOFTWARE,55.00,,39918.22,
17/01/2026,FOX TENNIS ACADEMY INV 2026-005 KIDSPORT,838.03,,39080.19,
20/01/2026,ASSET RENEWAL TERM DEPOSIT INTEREST,,3994.69,43074.88,
20/01/2026,BUNNINGS ROCKINGHAM GROUNDS SUPPLY,337.45,,42737.43,
21/01/2026,SQ TRANSFER SAFETY BAY TC,,475.30,43212.73,
22/01/2026,SHANE FOX INV 2026-001 COACHING RENT,,405.00,43617.73,
22/01/2026,BARRAS MOWING SERVICE JAN,412.55,,43205.18,
27/01/2026,WA RETURN RECYCLE RENEW,,45.20,43250.38,
28/01/2026,CITY OF ROCKINGHAM BPAY RATES,348.21,,42902.17,
